exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;init_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;
sel;accuracy;0;false;false;alteration;32;0.6200931470392548;932;0;0;0;571;0;0;0;0.6200931470392548;932;0;0;0;571;0;0;0;0.8137059214903526;737;0;77;118;0;0;247;324;0.8137059214903526;737;0;77;118;0;0;247;324;
sel;random;0;false;false;alteration;33;0.6249167221852099;938;0;0;0;563;0;0;0;0.6249167221852099;938;0;0;0;563;0;0;0;0.6249167221852099;938;0;0;0;563;0;0;0;0.6249167221852099;938;0;0;0;563;0;0;0;
sel;accuracy;0;false;false;alteration;33;0.6249167221852099;938;0;0;0;563;0;0;0;0.6249167221852099;938;0;0;0;563;0;0;0;0.6249167221852099;938;0;0;0;563;0;0;0;0.6249167221852099;938;0;0;0;563;0;0;0;
sel;random;0;false;false;alteration;34;0.6255829447035309;939;0;0;0;562;0;0;0;0.6255829447035309;939;0;0;0;562;0;0;0;0.6255829447035309;939;0;0;0;562;0;0;0;0.6255829447035309;939;0;0;0;562;0;0;0;
sel;accuracy;0;false;false;alteration;34;0.6255829447035309;939;0;0;0;562;0;0;0;0.6255829447035309;939;0;0;0;562;0;0;0;0.6898734177215189;844;95;0;0;274;288;0;0;0.6898734177215189;844;95;0;0;274;288;0;0;
sel;random;0;false;false;alteration;35;0.6984021304926764;956;0;113;0;360;0;73;0;0.6984021304926764;956;0;113;0;360;0;73;0;0.5059920106524634;31;0;1038;0;13;0;420;0;0.5059920106524634;31;0;1038;0;13;0;420;0;
sel;accuracy;0;false;false;alteration;35;0.6984021304926764;956;0;113;0;360;0;73;0;0.6984021304926764;956;0;113;0;360;0;73;0;0.7729693741677763;877;0;192;0;57;0;376;0;0.7729693741677763;877;0;192;0;57;0;376;0;
sel;random;0;false;false;alteration;36;0.12749667110519308;0;0;1;0;1119;0;382;0;0.12749667110519308;0;0;1;0;1119;0;382;0;0.015312916111850865;0;0;1;0;1456;19;26;0;0.015312916111850865;0;0;1;0;1456;19;26;0;
sel;accuracy;0;false;false;alteration;36;0.12749667110519308;0;0;1;0;1119;0;382;0;0.12749667110519308;0;0;1;0;1119;0;382;0;0.511318242343542;0;0;1;0;0;0;1467;34;0.511318242343542;0;0;1;0;0;0;1467;34;
sel;random;0;false;false;alteration;37;0.6135153129161119;879;0;85;0;538;0;0;0;0.6135153129161119;879;0;85;0;538;0;0;0;0.3924766977363516;215;0;749;0;538;0;0;0;0.3924766977363516;215;0;749;0;538;0;0;0;
sel;accuracy;0;false;false;alteration;37;0.6135153129161119;879;0;85;0;538;0;0;0;0.6135153129161119;879;0;85;0;538;0;0;0;0.7013981358189081;758;0;206;0;153;0;385;0;0.7013981358189081;758;0;206;0;153;0;385;0;
sel;random;0;false;false;alteration;38;0.8994003997335109;1262;0;176;0;63;0;0;0;0.8994003997335109;1262;0;176;0;63;0;0;0;0.6918720852764824;641;0;795;2;63;0;0;0;0.6918720852764824;641;0;795;2;63;0;0;0;
